id,title,start_date,end_date,statistics
33882,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Mezase! Kameari Superstar!! Ryoutsu-shiki Idol e no Michi!,2008-10-26,2008-11-02,"{'status': {'watching': '36', 'completed': '250', 'on_hold': '16', 'dropped': '63', 'plan_to_watch': '318'}, 'num_list_users': 683}"
33883,Chao You Bing,2014-04-25,2014-08-20,"{'status': {'watching': '501', 'completed': '1211', 'on_hold': '117', 'dropped': '160', 'plan_to_watch': '2672'}, 'num_list_users': 4661}"
33884,Tokyu Plaza Ginza Open,2016-03-27,2016-03-27,"{'status': {'watching': '23', 'completed': '212', 'on_hold': '3', 'dropped': '44', 'plan_to_watch': '94'}, 'num_list_users': 376}"
33885,Hane (2015),2015-12-25,2015-12-25,"{'status': {'watching': '13', 'completed': '440', 'on_hold': '5', 'dropped': '26', 'plan_to_watch': '85'}, 'num_list_users': 569}"
33886,Jikkyou Chuukei,2014-02-04,2014-02-04,"{'status': {'watching': '20', 'completed': '521', 'on_hold': '6', 'dropped': '32', 'plan_to_watch': '89'}, 'num_list_users': 668}"
33887,Time for Christmas,2011-12-14,2011-12-14,"{'status': {'watching': '17', 'completed': '229', 'on_hold': '1', 'dropped': '25', 'plan_to_watch': '52'}, 'num_list_users': 324}"
33888,Omoi Au Christmas 2011,2011-11-15,2011-12-17,"{'status': {'watching': '18', 'completed': '173', 'on_hold': '3', 'dropped': '47', 'plan_to_watch': '65'}, 'num_list_users': 306}"
33889,Saredo Tsumibito wa Ryuu to Odoru,2018-04-06,2018-06-22,"{'status': {'watching': '5507', 'completed': '15835', 'on_hold': '2155', 'dropped': '8007', 'plan_to_watch': '22924'}, 'num_list_users': 54428}"
33894,Sensou: Kodomo-tachi no Yuigon,1984,1984,"{'status': {'watching': '17', 'completed': '48', 'on_hold': '3', 'dropped': '45', 'plan_to_watch': '46'}, 'num_list_users': 159}"
33895,Kimi Shitteru? Shuto Enjou Anime Tokyo Dai Kuushuu,1988,1988,"{'status': {'watching': '13', 'completed': '41', 'on_hold': '6', 'dropped': '39', 'plan_to_watch': '51'}, 'num_list_users': 150}"
33896,Kayoko Sakura no Saku Hi,,,"{'status': {'watching': '15', 'completed': '35', 'on_hold': '4', 'dropped': '48', 'plan_to_watch': '54'}, 'num_list_users': 156}"
33897,Utsukushii Chikyuu wo Yogosanai de,1995-03-24,1995-03-24,"{'status': {'watching': '20', 'completed': '70', 'on_hold': '4', 'dropped': '64', 'plan_to_watch': '99'}, 'num_list_users': 257}"
